City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,westport,41.1415,-73.3579,14.77,93,100,4.63,US,1702234371
170,bulawayo,-20.15,28.5833,19.88,80,46,4.82,ZW,1702234583
171,gandajika,-6.75,23.95,20.67,95,100,0.97,CD,1702234584
172,ulsteinvik,62.3432,5.8487,3.07,90,74,3.13,NO,1702234584
173,madang,-5.2246,145.7966,24.84,94,100,2.78,PG,1702234584
174,olinda,-8.0089,-34.8553,28.85,17,40,3.6,BR,1702234490
175,soio,-6.1349,12.3689,27.25,77,100,4.45,AO,1702234585
176,horta,38.5333,-28.6333,17.8,81,40,8.49,PT,1702234586
177,tolanaro,-25.0319,46.9987,26.04,89,20,9.77,MG,1702234586
178,planaltina,-15.4528,-47.6142,31.18,32,73,2.41,BR,1702234586
179,tazovsky,67.4667,78.7,-29.63,93,100,4.13,RU,1702234587
180,jayapura,-2.5333,140.7,24.66,90,91,2.66,ID,1702234587
181,san antonio de pale,-1.4014,5.6325,27.62,78,100,5.37,GQ,1702234314
182,bel ombre,-4.6167,55.4167,27.91,83,40,2.06,SC,1702234588
183,west island,-12.1568,96.8225,25.99,83,40,4.63,CC,1702234442
184,waddan,29.1614,16.139,14.43,64,0,5.65,LY,1702234589
185,kogalym,62.2654,74.4791,-35.31,97,7,3.01,RU,1702234589
186,daru,-9.0763,143.2092,25.45,86,100,0.9,PG,1702234590
187,talnakh,69.4865,88.3972,-28.22,99,100,3.88,RU,1702234469
188,laojunmiao,39.8333,97.7333,-4.96,56,97,1.77,CN,1702234590
189,lethem,3.3803,-59.7968,33.03,55,40,6.17,GY,1702234591
190,ust-nera,64.5667,143.2,-17.74,98,100,4.07,RU,1702234455
191,punta arenas,-53.15,-70.9167,12.06,32,20,10.8,CL,1702234479
192,kargasok,59.0556,80.8572,-32.24,100,9,2.68,RU,1702234592
193,kibale,0.8,31.0667,16.46,98,65,0.52,UG,1702234592
194,lospalos,-8.5186,127.0025,24.08,88,100,0.44,TL,1702234593
195,dompu,-8.5356,118.4622,25.07,97,100,0.62,ID,1702234593
196,ta`u,-14.2336,-169.5144,23.96,95,100,4.03,AS,1702234594
197,chake chake,-5.2459,39.7666,26.04,84,100,3.32,TZ,1702234594
198,colonia,50.9333,6.95,9.77,84,75,4.63,DE,1702234261
199,almodovar,37.4959,-8.0937,14.71,83,1,0.75,PT,1702234595
200,bhandara,21.1667,79.65,17.23,64,0,2.1,IN,1702234595
201,puerto baquerizo moreno,-0.9,-89.6,27.55,74,20,8.23,EC,1702234596
202,undurkhaan,47.3194,110.6556,-20.45,91,100,0.49,MN,1702234596
203,chui,-33.6971,-53.4616,21.26,69,36,4.44,UY,1702234597
204,kruisfontein,-34.0033,24.7314,17.16,88,10,2.59,ZA,1702234597
205,taoudenni,22.6783,-3.9836,20.9,18,100,7.25,ML,1702234598
206,atafu village,-8.5421,-172.5159,29.51,73,100,5.35,TK,1702234598
207,boke,10.9409,-14.2967,27.91,32,100,1.52,GN,1702234598
208,nikolayevsk-on-amure,53.1406,140.73,-20.44,80,100,4.7,RU,1702234599
209,fortaleza,-3.7227,-38.5247,31.71,66,20,6.69,BR,1702234599
210,la'ie,21.6477,-157.9253,26.98,79,23,1.34,US,1702234380
211,necochea,-38.5473,-58.7368,23.8,43,0,5.63,AR,1702234398
212,seward,40.907,-97.0989,7.22,54,100,2.68,US,1702234600
213,pumiao,22.75,108.4833,20.22,94,12,2.6,CN,1702234601
214,san mariano,7.5,126.0,21.14,91,78,1.32,PH,1702234602
215,sisimiut,66.9395,-53.6735,-4.01,95,100,4.94,GL,1702234458
216,shatrovo,56.5167,64.6333,-30.76,96,7,3.28,RU,1702234602
217,sarnia,42.9787,-82.4041,5.96,70,100,5.14,CA,1702234412
218,kerikeri,-35.2268,173.9474,17.17,90,100,1.97,NZ,1702234603
219,hailar,49.2,119.7,-36.58,100,94,2.32,CN,1702234604
220,nyurba,63.2842,118.3319,-28.7,98,100,2.62,RU,1702234604
221,urengoy,65.9667,78.3667,-36.71,99,87,2.78,RU,1702234604
222,dubbo,-32.25,148.6167,21.07,83,17,3.6,AU,1702234605
223,zhangatas,43.5667,69.75,-6.73,78,100,2.52,KZ,1702234605
224,mossel bay,-34.1831,22.146,16.96,76,7,6.01,ZA,1702234605
225,geraldton,-28.7667,114.6,19.23,19,0,4.63,AU,1702234606
226,corumba,-19.0092,-57.6533,23.95,88,75,11.83,BR,1702234606
227,cole harbour,44.6724,-63.4751,7.62,90,95,1.34,CA,1702234388
228,charlottetown,46.2352,-63.1267,4.55,81,100,6.71,CA,1702234136
229,coquimbo,-29.9533,-71.3436,18.85,72,75,5.66,CL,1702234589
230,newman,37.3138,-121.0208,12.94,39,100,0.89,US,1702234607
231,nemuro,43.3236,145.575,-1.12,53,26,6.07,JP,1702234608
232,kyshtym,55.714,60.5528,-22.68,98,100,2.72,RU,1702234608
233,castro,-24.7911,-50.0119,17.46,98,100,0.57,BR,1702234331
234,hino,35.6731,139.4003,13.95,72,20,0.0,JP,1702234609
235,port moresby,-9.4431,147.1797,23.91,87,100,1.62,PG,1702234610
236,longboat key,27.4125,-82.659,27.94,71,0,8.75,US,1702234610
237,leava,-14.3,-178.1667,27.85,75,66,7.9,WF,1702234610
238,birjand,32.8663,59.2211,4.26,33,0,3.09,IR,1702234611
239,qamdo,31.1667,97.2333,-8.8,61,7,2.4,CN,1702234611
240,lata,40.1629,-8.3327,16.15,94,28,1.73,PT,1702234611
241,wang nam yen,13.5033,102.1812,23.82,86,83,1.32,TH,1702234612
242,remire-montjoly,4.9167,-52.2667,31.02,62,40,4.63,GF,1702234612
243,menongue,-14.6585,17.691,19.99,83,100,3.9,AO,1702234613
244,port elizabeth,-33.918,25.5701,18.39,84,0,1.54,ZA,1702234329
245,el matama,16.7095,33.3565,27.8,18,4,3.62,SD,1702234613
246,weno,7.4515,151.8468,27.97,78,100,3.6,FM,1702234497
247,lebu,-37.6167,-73.65,15.67,70,100,9.49,CL,1702234455
